[2024-12-21 10:52:47.504] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_116647c357d04daba257d66a3a5c0dcd.timeline
[2024-12-21 10:52:48.688] [info]  [main] window blur
[2024-12-21 10:52:52.710] [info]  [main] window focus
[2024-12-21 10:52:52.716] [info]  [main] window blur
[2024-12-21 10:52:52.717] [info]  [main] window focus
[2024-12-21 10:52:52.795] [info]  [main] window blur
[2024-12-21 10:53:17.350] [info]  [main] window focus
[2024-12-21 10:53:18.867] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/2132f82c-3170-4fac-af8d-ad918a6754ec.response
[2024-12-21 10:53:18.867] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_814b16bd74cb42ca9edf5b302cc0c380.timeline
[2024-12-21 10:53:19.774] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_b653a86924104bccaf9a790672d1fc5c.timeline
[2024-12-21 10:53:19.774] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/4aaf3f9e-07a4-4492-b9fd-243955ae69c9.response
[2024-12-21 10:53:30.664] [info]  [main] window blur
[2024-12-21 10:58:23.933] [info]  [main] window focus
[2024-12-21 10:58:26.061] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/7ff556f1-8879-4371-ba7d-71d8d2fea00d.response
[2024-12-21 10:58:26.061] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_88b580480d4b4c9a88deeae4dec5801d.timeline
[2024-12-21 10:58:28.762] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/9c05ab7f-b6a2-4a97-82a3-92a0a56ad976.response
[2024-12-21 10:58:28.763] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_3f360247ff934b0ca4a7ab61610a1b13.timeline
[2024-12-21 10:58:29.621] [info]  [main] window blur
[2024-12-21 10:58:30.181] [info]  [main] window focus
[2024-12-21 10:58:31.597] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_0dc5de3745a64dd6b789d29c1e4cec19.timeline
[2024-12-21 10:58:31.597] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/b8cf981b-7c04-496c-9fb2-66c72e9e4b99.response
[2024-12-21 10:58:32.674] [info]  [main] window blur
[2024-12-21 10:58:55.177] [info]  [main] window focus
[2024-12-21 10:58:57.159] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_2332c4a12d384406a71b90876c13cc9c.timeline
[2024-12-21 10:58:57.159] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/dca905fc-bdf7-4e3f-a711-1d88261da987.response
[2024-12-21 10:58:57.988] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_214e3a6c3977405aafc856a1ca88302c.timeline
[2024-12-21 10:58:57.988] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/a9f62456-fb65-4dd9-b775-f8676c817a9c.response
[2024-12-21 10:59:00.211] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_f6c2d78a96dd408bb99a9900041fd520.timeline
[2024-12-21 10:59:00.212] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/79d3aac2-c030-4e18-b28e-d42d2a194640.response
[2024-12-21 10:59:01.990] [info]  [main] window blur
[2024-12-21 11:00:56.899] [info]  [main] window focus
[2024-12-21 11:00:58.440] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_05e4bc31f2cb4318a97f65aadc25c46d.timeline
[2024-12-21 11:00:58.440] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/307e93f5-e0fd-4970-bedf-91fd74e541c6.response
[2024-12-21 11:01:05.515] [info]  [main] window blur
[2024-12-21 11:18:13.214] [info]  [main] window focus
[2024-12-21 11:18:16.578] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_3c9fa1dfe8fa49bfa8a343a176829095.timeline
[2024-12-21 11:18:16.578] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/5b054e61-fa42-4b11-958f-c8b77f1f145b.response
[2024-12-21 11:18:17.505] [info]  [main] window blur
[2024-12-21 11:18:24.745] [info]  [main] window focus
[2024-12-21 11:18:26.104] [info]  [db] Delete hook failed for remove res_007c9623c13e4d5ea2c6313c9873e48c: The "path" argument must be of type string or an instance of Buffer or URL. Received undefined
[2024-12-21 11:18:28.817] [info]  [main] window blur
[2024-12-21 11:18:30.734] [info]  [main] window focus
[2024-12-21 11:18:32.303] [info]  [main] window blur
[2024-12-21 11:18:36.177] [info]  [main] window focus
[2024-12-21 11:18:37.294] [info]  [main] window blur
[2024-12-21 11:18:37.300] [info]  [main] window focus
[2024-12-21 11:18:37.388] [info]  [main] window blur
[2024-12-21 11:18:39.464] [info]  [main] window focus
[2024-12-21 11:18:39.646] [info]  [main] window blur
[2024-12-21 11:18:39.823] [info]  [main] window focus
[2024-12-21 11:18:40.833] [info]  [main] window blur
[2024-12-21 11:18:59.481] [info]  [main] window focus
[2024-12-21 11:19:00.106] [info]  [main] window blur
[2024-12-21 11:21:01.592] [info]  [main] window focus
[2024-12-21 11:21:02.620] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/8fec5678-0efe-4823-9696-ee46762b92ec.response
[2024-12-21 11:21:02.620] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_2ed983e08f28412ca999e77f316a83a0.timeline
[2024-12-21 11:21:03.291] [info]  [main] window blur
[2024-12-21 11:21:03.623] [info]  [main] window focus
[2024-12-21 11:21:04.288] [info]  [main] window blur
[2024-12-21 11:23:46.185] [info]  [main] window focus
[2024-12-21 11:23:46.494] [info]  [main] window blur
[2024-12-21 11:23:46.821] [info]  [main] window focus
[2024-12-21 11:23:48.265] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_227c8e9f89364cc994927a53dba9a2b0.timeline
[2024-12-21 11:23:48.266] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/64bf2fc1-5b92-4ad4-a0ba-f3cd3aeb2a47.response
[2024-12-21 11:23:49.327] [info]  [main] window blur
[2024-12-21 11:24:00.669] [info]  [main] window focus
[2024-12-21 11:24:02.079] [info]  [main] window blur
[2024-12-21 11:26:06.340] [info]  [main] window focus
[2024-12-21 11:26:06.976] [info]  [main] window blur
[2024-12-21 11:27:53.422] [info]  [main] window focus
